Chimpanzee,Gorilla,Human,Marmoset,Rhesus,cluster_label
2120.0,3829.0,66.0,6042.0,125.0,Astro_1
521.0,75.0,2284.0,300.0,588.0,Astro_2
0.0,152.0,268.0,362.0,125.0,Astro_3
0.0,107.0,59.0,67.0,0.0,Astro_4
0.0,0.0,87.0,0.0,0.0,Astro_5
236.0,558.0,476.0,530.0,289.0,Chandelier_1
354.0,246.0,220.0,0.0,484.0,Chandelier_2
284.0,96.0,162.0,62.0,67.0,Endo_1
0.0,53.0,0.0,236.0,0.0,Endo_2
0.0,0.0,0.0,210.0,0.0,Endo_3
221.0,22964.0,9803.0,16299.0,4535.0,L2/3 IT_1
0.0,0.0,2046.0,0.0,2520.0,L2/3 IT_10
0.0,0.0,1003.0,0.0,2227.0,L2/3 IT_11
0.0,0.0,1032.0,0.0,1060.0,L2/3 IT_12
0.0,0.0,3433.0,0.0,277.0,L2/3 IT_13
0.0,0.0,0.0,0.0,287.0,L2/3 IT_14
0.0,0.0,0.0,0.0,1388.0,L2/3 IT_15
172.0,473.0,34.0,1017.0,217.0,L2/3 IT_2
14536.0,13524.0,774.0,3401.0,393.0,L2/3 IT_3
9173.0,69.0,420.0,514.0,84.0,L2/3 IT_4
4369.0,0.0,2827.0,0.0,526.0,L2/3 IT_5
6952.0,0.0,5329.0,0.0,128.0,L2/3 IT_6
1604.0,0.0,511.0,0.0,126.0,L2/3 IT_7
0.0,0.0,823.0,0.0,2273.0,L2/3 IT_8
0.0,0.0,1209.0,0.0,153.0,L2/3 IT_9
8372.0,2323.0,1891.0,1998.0,10978.0,L4 IT_1
781.0,308.0,12759.0,1373.0,1816.0,L4 IT_2
1181.0,10202.0,570.0,778.0,337.0,L4 IT_3
2160.0,351.0,1798.0,1986.0,0.0,L4 IT_4
0.0,3159.0,0.0,392.0,0.0,L4 IT_5
0.0,0.0,0.0,3156.0,0.0,L4 IT_6
115.0,99.0,107.0,449.0,24.0,L5 ET_1
77.0,26.0,265.0,244.0,65.0,L5 ET_2
0.0,71.0,0.0,0.0,0.0,L5 ET_3
0.0,117.0,0.0,0.0,0.0,L5 ET_4
546.0,5915.0,1807.0,695.0,946.0,L5 IT_1
1019.0,3088.0,7807.0,4033.0,1546.0,L5 IT_2
6225.0,2041.0,1681.0,1270.0,730.0,L5 IT_3
2672.0,0.0,97.0,0.0,5370.0,L5 IT_4
0.0,0.0,3353.0,0.0,0.0,L5 IT_5
0.0,0.0,1735.0,0.0,0.0,L5 IT_6
0.0,0.0,3153.0,0.0,0.0,L5 IT_7
1216.0,66.0,1447.0,760.0,53.0,L5/6 NP_1
162.0,190.0,1058.0,31.0,58.0,L5/6 NP_2
0.0,165.0,120.0,0.0,147.0,L5/6 NP_3
0.0,1469.0,383.0,0.0,124.0,L5/6 NP_4
0.0,0.0,34.0,0.0,66.0,L5/6 NP_5
0.0,0.0,128.0,0.0,858.0,L5/6 NP_6
0.0,0.0,0.0,0.0,57.0,L5/6 NP_7
0.0,0.0,0.0,0.0,77.0,L5/6 NP_8
984.0,2458.0,709.0,91.0,44.0,L6 CT_1
94.0,75.0,1818.0,1935.0,24.0,L6 CT_2
44.0,0.0,148.0,21.0,299.0,L6 CT_3
0.0,0.0,92.0,0.0,1742.0,L6 CT_4
1643.0,1116.0,850.0,95.0,196.0,L6 IT Car3_1
379.0,497.0,1269.0,1855.0,414.0,L6 IT Car3_2
0.0,631.0,2454.0,432.0,0.0,L6 IT Car3_3
4007.0,321.0,915.0,138.0,1485.0,L6 IT_1
0.0,4170.0,5137.0,571.0,544.0,L6 IT_2
0.0,468.0,0.0,2309.0,420.0,L6 IT_3
