Chimpanzee,Gorilla,Human,Marmoset,Rhesus,cross_species_subclass_label
2641,4163,2764,6771,838,Astro
590,804,696,530,773,Chandelier
284,149,162,508,67,Endo
39187,40497,31042,25772,16531,L2/3 IT
10334,12876,15220,5142,12794,L4 IT
192,313,372,693,89,L5 ET
10462,11044,19633,5998,8592,L5 IT
1378,1890,3170,791,1440,L5/6 NP
1122,2533,2767,2047,2109,L6 CT
4007,4959,6052,3018,2530,L6 IT
2022,2244,4573,2382,610,L6 IT Car3
824,1156,3024,1283,2275,L6b
3548,4385,3376,900,3474,Lamp5
1511,1668,2203,422,1319,Lamp5_Lhx6
232,840,1187,2473,942,Micro-PVM
1506,2116,2161,2868,2087,OPC
6548,8716,7578,3870,9445,Oligo
508,905,578,283,705,Pax6
5697,8189,10840,2440,4691,Pvalb
1144,1686,1105,623,1192,Sncg
7684,11501,12887,3431,8525,Sst
57,114,78,43,44,Sst Chodl
51,352,272,624,113,VLMC
7567,12468,10042,2949,7951,Vip
