Chimpanzee,Gorilla,Human,Layers,Cluster
30,21,0,one,Astro_1
18,15,0,two,Astro_1
14,23,0,three,Astro_1
9,16,0,four,Astro_1
13,16,0,five,Astro_1
16,8,100,six,Astro_1
90,0,13,one,Astro_2
4,0,30,two,Astro_2
0,0,22,three,Astro_2
0,0,10,four,Astro_2
0,0,16,five,Astro_2
6,100,9,six,Astro_2
0,88,37,one,Astro_3
0,12,5,two,Astro_3
0,0,0,three,Astro_3
0,0,0,four,Astro_3
0,0,5,five,Astro_3
0,0,53,six,Astro_3
0,83,50,one,Astro_4
0,8,38,two,Astro_4
0,8,0,three,Astro_4
0,0,0,four,Astro_4
0,0,12,five,Astro_4
0,0,0,six,Astro_4
0,0,70,one,Astro_5
0,0,30,two,Astro_5
0,0,0,three,Astro_5
0,0,0,four,Astro_5
0,0,0,five,Astro_5
0,0,0,six,Astro_5
29,0,0,one,Chandelier_1
21,27,32,two,Chandelier_1
21,36,47,three,Chandelier_1
7,18,16,four,Chandelier_1
0,9,5,five,Chandelier_1
21,9,0,six,Chandelier_1
23,0,0,one,Chandelier_2
8,0,31,two,Chandelier_2
0,20,38,three,Chandelier_2
38,60,0,four,Chandelier_2
31,20,23,five,Chandelier_2
0,0,8,six,Chandelier_2
67,0,0,one,Endo_1
8,60,17,two,Endo_1
8,20,50,three,Endo_1
0,20,0,four,Endo_1
0,0,17,five,Endo_1
17,0,17,six,Endo_1
14,41,15,one,L2/3 IT_1
29,44,55,two,L2/3 IT_1
14,13,28,three,L2/3 IT_1
0,0,1,four,L2/3 IT_1
43,0,1,five,L2/3 IT_1
0,2,0,six,L2/3 IT_1
0,0,0,one,L2/3 IT_10
0,0,13,two,L2/3 IT_10
0,0,82,three,L2/3 IT_10
0,0,5,four,L2/3 IT_10
0,0,0,five,L2/3 IT_10
0,0,0,six,L2/3 IT_10
0,0,0,one,L2/3 IT_11
0,0,1,two,L2/3 IT_11
0,0,89,three,L2/3 IT_11
0,0,9,four,L2/3 IT_11
0,0,1,five,L2/3 IT_11
0,0,0,six,L2/3 IT_11
0,0,1,one,L2/3 IT_12
0,0,8,two,L2/3 IT_12
0,0,84,three,L2/3 IT_12
0,0,5,four,L2/3 IT_12
0,0,1,five,L2/3 IT_12
0,0,0,six,L2/3 IT_12
0,0,1,one,L2/3 IT_13
0,0,6,two,L2/3 IT_13
0,0,71,three,L2/3 IT_13
0,0,19,four,L2/3 IT_13
0,0,2,five,L2/3 IT_13
0,0,1,six,L2/3 IT_13
14,0,0,one,L2/3 IT_2
43,33,0,two,L2/3 IT_2
29,50,80,three,L2/3 IT_2
0,0,20,four,L2/3 IT_2
14,0,0,five,L2/3 IT_2
0,17,0,six,L2/3 IT_2
41,0,1,one,L2/3 IT_3
36,19,1,two,L2/3 IT_3
12,52,68,three,L2/3 IT_3
4,19,29,four,L2/3 IT_3
7,4,2,five,L2/3 IT_3
0,7,0,six,L2/3 IT_3
28,0,0,one,L2/3 IT_4
46,0,0,two,L2/3 IT_4
17,0,68,three,L2/3 IT_4
4,0,25,four,L2/3 IT_4
5,100,5,five,L2/3 IT_4
0,0,2,six,L2/3 IT_4
9,0,0,one,L2/3 IT_5
11,0,1,two,L2/3 IT_5
29,0,71,three,L2/3 IT_5
33,0,25,four,L2/3 IT_5
18,0,2,five,L2/3 IT_5
0,0,0,six,L2/3 IT_5
15,0,6,one,L2/3 IT_6
14,0,59,two,L2/3 IT_6
43,0,34,three,L2/3 IT_6
7,0,0,four,L2/3 IT_6
20,0,0,five,L2/3 IT_6
1,0,0,six,L2/3 IT_6
19,0,14,one,L2/3 IT_7
0,0,73,two,L2/3 IT_7
19,0,11,three,L2/3 IT_7
38,0,3,four,L2/3 IT_7
25,0,0,five,L2/3 IT_7
0,0,0,six,L2/3 IT_7
0,0,2,one,L2/3 IT_8
0,0,48,two,L2/3 IT_8
0,0,48,three,L2/3 IT_8
0,0,0,four,L2/3 IT_8
0,0,1,five,L2/3 IT_8
0,0,0,six,L2/3 IT_8
0,0,0,one,L2/3 IT_9
0,0,17,two,L2/3 IT_9
0,0,82,three,L2/3 IT_9
0,0,2,four,L2/3 IT_9
0,0,0,five,L2/3 IT_9
0,0,0,six,L2/3 IT_9
0,0,0,one,L4 IT_1
2,0,1,two,L4 IT_1
8,0,5,three,L4 IT_1
59,55,70,four,L4 IT_1
31,35,22,five,L4 IT_1
1,9,2,six,L4 IT_1
6,0,0,one,L4 IT_2
