Chimpanzee,Gorilla,Human,Layers,Cluster
0.3,0.21,0,one,Astro_1
0.18,0.15,0,two,Astro_1
0.14,0.23,0,three,Astro_1
0.09,0.16,0,four,Astro_1
0.13,0.16,0,five,Astro_1
0.16,0.08,1,six,Astro_1
0.9,0,0.13,one,Astro_2
0.04,0,0.3,two,Astro_2
0,0,0.22,three,Astro_2
0,0,0.1,four,Astro_2
0,0,0.16,five,Astro_2
0.06,1,0.09,six,Astro_2
0,0.88,0.37,one,Astro_3
0,0.12,0.05,two,Astro_3
0,0,0,three,Astro_3
0,0,0,four,Astro_3
0,0,0.05,five,Astro_3
0,0,0.53,six,Astro_3
0,0.83,0.5,one,Astro_4
0,0.08,0.38,two,Astro_4
0,0.08,0,three,Astro_4
0,0,0,four,Astro_4
0,0,0.12,five,Astro_4
0,0,0,six,Astro_4
0,0,0.7,one,Astro_5
0,0,0.3,two,Astro_5
0,0,0,three,Astro_5
0,0,0,four,Astro_5
0,0,0,five,Astro_5
0,0,0,six,Astro_5
0.29,0,0,one,Chandelier_1
0.21,0.27,0.32,two,Chandelier_1
0.21,0.36,0.47,three,Chandelier_1
0.07,0.18,0.16,four,Chandelier_1
0,0.09,0.05,five,Chandelier_1
0.21,0.09,0,six,Chandelier_1
0.23,0,0,one,Chandelier_2
0.08,0,0.31,two,Chandelier_2
0,0.2,0.38,three,Chandelier_2
0.38,0.6,0,four,Chandelier_2
0.31,0.2,0.23,five,Chandelier_2
0,0,0.08,six,Chandelier_2
0.67,0,0,one,Endo_1
0.08,0.6,0.17,two,Endo_1
0.08,0.2,0.5,three,Endo_1
0,0.2,0,four,Endo_1
0,0,0.17,five,Endo_1
0.17,0,0.17,six,Endo_1
0.14,0.41,0.15,one,L2/3 IT_1
0.29,0.44,0.55,two,L2/3 IT_1
0.14,0.13,0.28,three,L2/3 IT_1
0,0,0.01,four,L2/3 IT_1
0.43,0,0.01,five,L2/3 IT_1
0,0.02,0,six,L2/3 IT_1
0,0,0,one,L2/3 IT_10
0,0,0.13,two,L2/3 IT_10
0,0,0.82,three,L2/3 IT_10
0,0,0.05,four,L2/3 IT_10
0,0,0,five,L2/3 IT_10
0,0,0,six,L2/3 IT_10
0,0,0,one,L2/3 IT_11
0,0,0.01,two,L2/3 IT_11
0,0,0.89,three,L2/3 IT_11
0,0,0.09,four,L2/3 IT_11
0,0,0.01,five,L2/3 IT_11
0,0,0,six,L2/3 IT_11
0,0,0.01,one,L2/3 IT_12
0,0,0.08,two,L2/3 IT_12
0,0,0.84,three,L2/3 IT_12
0,0,0.05,four,L2/3 IT_12
0,0,0.01,five,L2/3 IT_12
0,0,0,six,L2/3 IT_12
0,0,0.01,one,L2/3 IT_13
0,0,0.06,two,L2/3 IT_13
0,0,0.71,three,L2/3 IT_13
0,0,0.19,four,L2/3 IT_13
0,0,0.02,five,L2/3 IT_13
0,0,0.01,six,L2/3 IT_13
0.14,0,0,one,L2/3 IT_2
0.43,0.33,0,two,L2/3 IT_2
0.29,0.5,0.8,three,L2/3 IT_2
0,0,0.2,four,L2/3 IT_2
0.14,0,0,five,L2/3 IT_2
0,0.17,0,six,L2/3 IT_2
0.41,0,0.01,one,L2/3 IT_3
0.36,0.19,0.01,two,L2/3 IT_3
0.12,0.52,0.68,three,L2/3 IT_3
0.04,0.19,0.29,four,L2/3 IT_3
0.07,0.04,0.02,five,L2/3 IT_3
0,0.07,0,six,L2/3 IT_3
0.28,0,0,one,L2/3 IT_4
0.46,0,0,two,L2/3 IT_4
0.17,0,0.68,three,L2/3 IT_4
0.04,0,0.25,four,L2/3 IT_4
0.05,1,0.05,five,L2/3 IT_4
0,0,0.02,six,L2/3 IT_4
0.09,0,0,one,L2/3 IT_5
0.11,0,0.01,two,L2/3 IT_5
0.29,0,0.71,three,L2/3 IT_5
0.33,0,0.25,four,L2/3 IT_5
0.18,0,0.02,five,L2/3 IT_5
0,0,0,six,L2/3 IT_5
0.15,0,0.06,one,L2/3 IT_6
0.14,0,0.59,two,L2/3 IT_6
0.43,0,0.34,three,L2/3 IT_6
0.07,0,0,four,L2/3 IT_6
0.2,0,0,five,L2/3 IT_6
0.01,0,0,six,L2/3 IT_6
0.19,0,0.14,one,L2/3 IT_7
0,0,0.73,two,L2/3 IT_7
0.19,0,0.11,three,L2/3 IT_7
0.38,0,0.03,four,L2/3 IT_7
0.25,0,0,five,L2/3 IT_7
0,0,0,six,L2/3 IT_7
0,0,0.02,one,L2/3 IT_8
0,0,0.48,two,L2/3 IT_8
0,0,0.48,three,L2/3 IT_8
0,0,0,four,L2/3 IT_8
0,0,0.01,five,L2/3 IT_8
0,0,0,six,L2/3 IT_8
0,0,0,one,L2/3 IT_9
0,0,0.17,two,L2/3 IT_9
0,0,0.82,three,L2/3 IT_9
0,0,0.02,four,L2/3 IT_9
0,0,0,five,L2/3 IT_9
0,0,0,six,L2/3 IT_9
0,0,0,one,L4 IT_1
0.02,0,0.01,two,L4 IT_1
0.08,0,0.05,three,L4 IT_1
0.59,0.55,0.7,four,L4 IT_1
0.31,0.35,0.22,five,L4 IT_1
0.01,0.09,0.02,six,L4 IT_1
0.06,0,0,one,L4 IT_2
0.06,0,0,two,L4 IT_2
0.11,0,0.2,three,L4 IT_2
0.56,0.67,0.57,four,L4 IT_2
0.22,0.33,0.22,five,L4 IT_2
0,0,0.01,six,L4 IT_2
0,0,0,one,L4 IT_3
0.03,0,0.02,two,L4 IT_3
0.03,0.03,0.33,three,L4 IT_3
0.47,0.57,0.48,four,L4 IT_3
0.47,0.32,0.17,five,L4 IT_3
0,0.07,0,six,L4 IT_3
0.07,0,0,one,L4 IT_4
0.02,0,0,two,L4 IT_4
0.12,0.25,0.36,three,L4 IT_4
0.55,0.38,0.52,four,L4 IT_4
0.22,0.12,0.12,five,L4 IT_4
0.02,0.25,0,six,L4 IT_4
0,0,0,one,L4 IT_5
0,0,0,two,L4 IT_5
0,0.28,0,three,L4 IT_5
0,0.54,0,four,L4 IT_5
0,0.09,0,five,L4 IT_5
0,0.08,0,six,L4 IT_5
0,0,0,one,L5 ET_1
0,0,0,two,L5 ET_1
0,0,0,three,L5 ET_1
0.5,0,0.25,four,L5 ET_1
0.5,0.67,0.75,five,L5 ET_1
0,0.33,0,six,L5 ET_1
0,0,0,one,L5 ET_2
0,0,0,two,L5 ET_2
0,0,0,three,L5 ET_2
0.33,0.5,0.31,four,L5 ET_2
0.5,0.5,0.69,five,L5 ET_2
0.17,0,0,six,L5 ET_2
0,0,0,one,L5 ET_3
0,0,0,two,L5 ET_3
0,0,0,three,L5 ET_3
0,0,0,four,L5 ET_3
0,0.67,0,five,L5 ET_3
0,0.33,0,six,L5 ET_3
0,0,0,one,L5 ET_4
0,0,0,two,L5 ET_4
0,0,0,three,L5 ET_4
0,0,0,four,L5 ET_4
0,1,0,five,L5 ET_4
0,0,0,six,L5 ET_4
0,0,0,one,L5 IT_1
0,0,0,two,L5 IT_1
0,0,0.01,three,L5 IT_1
0,0.17,0.2,four,L5 IT_1
0.94,0.74,0.62,five,L5 IT_1
0.06,0.1,0.17,six,L5 IT_1
0,0,0,one,L5 IT_2
0,0,0.01,two,L5 IT_2
0,0,0.04,three,L5 IT_2
0.13,0.17,0.39,four,L5 IT_2
0.74,0.73,0.47,five,L5 IT_2
0.13,0.1,0.09,six,L5 IT_2
0,0,0,one,L5 IT_3
0.01,0.01,0,two,L5 IT_3
0,0,0,three,L5 IT_3
0.21,0.08,0.07,four,L5 IT_3
0.7,0.79,0.7,five,L5 IT_3
0.08,0.12,0.23,six,L5 IT_3
0,0,0,one,L5 IT_4
0,0,0,two,L5 IT_4
0,0,0,three,L5 IT_4
0.32,0,1,four,L5 IT_4
0.63,0,0,five,L5 IT_4
0.05,0,0,six,L5 IT_4
0,0,0,one,L5 IT_5
0,0,0,two,L5 IT_5
0,0,0.06,three,L5 IT_5
0,0,0.41,four,L5 IT_5
0,0,0.49,five,L5 IT_5
0,0,0.04,six,L5 IT_5
0,0,0,one,L5 IT_6
0,0,0.01,two,L5 IT_6
0,0,0.13,three,L5 IT_6
0,0,0.54,four,L5 IT_6
0,0,0.31,five,L5 IT_6
0,0,0.01,six,L5 IT_6
0,0,0,one,L5 IT_7
0,0,0.01,two,L5 IT_7
0,0,0.02,three,L5 IT_7
0,0,0.2,four,L5 IT_7
0,0,0.66,five,L5 IT_7
0,0,0.11,six,L5 IT_7
0,0,0.01,one,L5/6 NP_1
0,0,0.01,two,L5/6 NP_1
0.02,0,0.01,three,L5/6 NP_1
0.06,0,0.11,four,L5/6 NP_1
0.59,0,0.56,five,L5/6 NP_1
0.33,0,0.3,six,L5/6 NP_1
0,0,0,one,L5/6 NP_2
0,0,0,two,L5/6 NP_2
0,0,0,three,L5/6 NP_2
0.09,0.09,0.27,four,L5/6 NP_2
0.45,0.91,0.52,five,L5/6 NP_2
0.45,0,0.21,six,L5/6 NP_2
0,0,0,one,L5/6 NP_3
0,0,0,two,L5/6 NP_3
0,0,0,three,L5/6 NP_3
0,0.33,0.09,four,L5/6 NP_3
0,0.5,0.64,five,L5/6 NP_3
0,0.17,0.27,six,L5/6 NP_3
0,0,0,one,L5/6 NP_4
0,0,0,two,L5/6 NP_4
0,0,0,three,L5/6 NP_4
0,0.11,0.09,four,L5/6 NP_4
0,0.81,0.69,five,L5/6 NP_4
0,0.08,0.22,six,L5/6 NP_4
0,0,0,one,L5/6 NP_5
0,0,0,two,L5/6 NP_5
0,0,0,three,L5/6 NP_5
0,0,0,four,L5/6 NP_5
0,0,1,five,L5/6 NP_5
0,0,0,six,L5/6 NP_5
0,0,0,one,L5/6 NP_6
0,0,0,two,L5/6 NP_6
0,0,0,three,L5/6 NP_6
0,0,0.33,four,L5/6 NP_6
0,0,0.67,five,L5/6 NP_6
0,0,0,six,L5/6 NP_6
0,0,0,one,L6 CT_1
0,0,0,two,L6 CT_1
0,0,0,three,L6 CT_1
0,0.01,0,four,L6 CT_1
0.09,0.17,0.02,five,L6 CT_1
0.91,0.83,0.98,six,L6 CT_1
0,0,0,one,L6 CT_2
0,0,0,two,L6 CT_2
0,0,0,three,L6 CT_2
0,0,0.01,four,L6 CT_2
0,0,0.3,five,L6 CT_2
1,1,0.69,six,L6 CT_2
0,0,0,one,L6 CT_3
0,0,0,two,L6 CT_3
0,0,0,three,L6 CT_3
0,0,0,four,L6 CT_3
0,0,0.31,five,L6 CT_3
1,0,0.69,six,L6 CT_3
0,0,0,one,L6 CT_4
0,0,0,two,L6 CT_4
0,0,0,three,L6 CT_4
0,0,0,four,L6 CT_4
0,0,0.17,five,L6 CT_4
0,0,0.83,six,L6 CT_4
0,0,0,one,L6 IT Car3_1
0,0,0,two,L6 IT Car3_1
0,0,0.05,three,L6 IT Car3_1
0.02,0.02,0.23,four,L6 IT Car3_1
0.66,0.71,0.55,five,L6 IT Car3_1
0.32,0.27,0.18,six,L6 IT Car3_1
0,0,0,one,L6 IT Car3_2
0,0,0,two,L6 IT Car3_2
0,0,0,three,L6 IT Car3_2
0.3,0.27,0.04,four,L6 IT Car3_2
0.4,0.68,0.61,five,L6 IT Car3_2
0.3,0.05,0.35,six,L6 IT Car3_2
0,0,0,one,L6 IT Car3_3
0,0,0,two,L6 IT Car3_3
0,0,0,three,L6 IT Car3_3
0,0,0.02,four,L6 IT Car3_3
0,0.66,0.55,five,L6 IT Car3_3
0,0.34,0.43,six,L6 IT Car3_3
0,0,0,one,L6 IT_1
0,0,0,two,L6 IT_1
0,0,0.01,three,L6 IT_1
0,0.1,0.06,four,L6 IT_1
0.32,0.75,0.31,five,L6 IT_1
0.68,0.15,0.62,six,L6 IT_1
0,0,0,one,L6 IT_2
0,0,0,two,L6 IT_2
0,0,0,three,L6 IT_2
0,0,0.01,four,L6 IT_2
0,0.37,0.2,five,L6 IT_2
0,0.63,0.8,six,L6 IT_2
0,0,0,one,L6 IT_3
0,0,0,two,L6 IT_3
0,0,0,three,L6 IT_3
0,0,0,four,L6 IT_3
0,0.15,0,five,L6 IT_3
0,0.85,0,six,L6 IT_3
0,0,0,one,L6b_1
0,0,0,two,L6b_1
0,0,0,three,L6b_1
0,0,0,four,L6b_1
0.09,0.5,0,five,L6b_1
0.91,0.5,1,six,L6b_1
0,0,0,one,L6b_2
0,0,0,two,L6b_2
0,0,0,three,L6b_2
0,0,0,four,L6b_2
0,0.36,0,five,L6b_2
1,0.64,1,six,L6b_2
0,0,0,one,L6b_3
0,0,0,two,L6b_3
0,0,0,three,L6b_3
0,0,0,four,L6b_3
0.38,0.17,0.5,five,L6b_3
0.62,0.83,0.5,six,L6b_3
0,0,0,one,L6b_4
0,0,0,two,L6b_4
0,0,0,three,L6b_4
0,0,0,four,L6b_4
0.8,0,0.21,five,L6b_4
0.2,1,0.79,six,L6b_4
0,0,0,one,L6b_5
0,0,0,two,L6b_5
0,0,0,three,L6b_5
0,0,0,four,L6b_5
0.3,0.27,0.47,five,L6b_5
0.7,0.73,0.53,six,L6b_5
0,0,0,one,L6b_6
0,0,0,two,L6b_6
0,0,0,three,L6b_6
0,0,0.01,four,L6b_6
0,0.5,0.3,five,L6b_6
1,0.5,0.68,six,L6b_6
0.87,0.88,0,one,Lamp5_1
0.04,0.08,0.08,two,Lamp5_1
0.07,0.04,0.18,three,Lamp5_1
0.02,0,0.24,four,Lamp5_1
0,0,0.26,five,Lamp5_1
0,0,0.24,six,Lamp5_1
0.32,0.22,0.04,one,Lamp5_2
0.21,0.11,0.17,two,Lamp5_2
0.15,0.28,0.49,three,Lamp5_2
0.09,0.22,0.17,four,Lamp5_2
0.13,0.07,0.07,five,Lamp5_2
0.09,0.11,0.06,six,Lamp5_2
0,0,0.69,one,Lamp5_3
0,0,0.17,two,Lamp5_3
0,0,0.08,three,Lamp5_3
0,0,0,four,Lamp5_3
0,0,0.06,five,Lamp5_3
0,0,0,six,Lamp5_3
0,0,0.86,one,Lamp5_4
0,0,0.14,two,Lamp5_4
0,0,0,three,Lamp5_4
0,0,0,four,Lamp5_4
0,0,0,five,Lamp5_4
0,0,0,six,Lamp5_4
0,0,0.85,one,Lamp5_5
0,0,0.13,two,Lamp5_5
0,0,0.01,three,Lamp5_5
0,0,0,four,Lamp5_5
0,0,0.01,five,Lamp5_5
0,0,0.01,six,Lamp5_5
0,0,0.68,one,Lamp5_6
0,0,0.26,two,Lamp5_6
0,0,0.04,three,Lamp5_6
0,0,0,four,Lamp5_6
0,0,0.02,five,Lamp5_6
0,0,0,six,Lamp5_6
0.32,0.22,0.03,one,Lamp5_Lhx6_1
0.14,0.11,0.08,two,Lamp5_Lhx6_1
0.09,0.22,0.16,three,Lamp5_Lhx6_1
0.14,0,0.06,four,Lamp5_Lhx6_1
0.05,0.17,0.2,five,Lamp5_Lhx6_1
0.27,0.28,0.46,six,Lamp5_Lhx6_1
0,0,0,one,Lamp5_Lhx6_2
0,0,0,two,Lamp5_Lhx6_2
0.03,0.14,0,three,Lamp5_Lhx6_2
0.15,0.32,0,four,Lamp5_Lhx6_2
0.09,0.27,0,five,Lamp5_Lhx6_2
0.74,0.27,0,six,Lamp5_Lhx6_2
0.36,0,0,one,Micro-PVM_1
0.07,0,0,two,Micro-PVM_1
0.07,0,0.5,three,Micro-PVM_1
0.21,0,0,four,Micro-PVM_1
0,1,0.5,five,Micro-PVM_1
0.29,0,0,six,Micro-PVM_1
0.5,0.49,0.12,one,Micro-PVM_2
0,0.06,0.23,two,Micro-PVM_2
0,0.17,0.36,three,Micro-PVM_2
0.17,0.14,0.08,four,Micro-PVM_2
0.17,0.09,0.12,five,Micro-PVM_2
0.17,0.06,0.09,six,Micro-PVM_2
0,0.27,0.25,one,Micro-PVM_3
0,0.23,0,two,Micro-PVM_3
0,0.14,0.25,three,Micro-PVM_3
0,0.14,0.12,four,Micro-PVM_3
0,0.18,0.25,five,Micro-PVM_3
0,0.05,0.12,six,Micro-PVM_3
0.5,0,0,one,OPC_1
0,0,0,two,OPC_1
0,1,0,three,OPC_1
0.5,0,0,four,OPC_1
0,0,0.5,five,OPC_1
0,0,0.5,six,OPC_1
0.33,0.27,0.04,one,OPC_2
0.1,0,0.18,two,OPC_2
0.12,0,0.27,three,OPC_2
0.08,0,0.19,four,OPC_2
0.06,0.18,0.17,five,OPC_2
0.33,0.55,0.14,six,OPC_2
0,0.29,0,one,OPC_3
0,0.2,0,two,OPC_3
0,0.11,0,three,OPC_3
0,0.18,0,four,OPC_3
0,0.16,0,five,OPC_3
0,0.07,0,six,OPC_3
0.11,0.12,0.09,one,Oligo_1
0.04,0.05,0,two,Oligo_1
0.05,0.09,0.02,three,Oligo_1
0.1,0.12,0.11,four,Oligo_1
0.14,0.22,0.27,five,Oligo_1
0.57,0.4,0.5,six,Oligo_1
0,0,0.03,one,Oligo_2
0,0,0.03,two,Oligo_2
0,0,0.17,three,Oligo_2
0,0,0.17,four,Oligo_2
0,0,0.24,five,Oligo_2
1,0,0.35,six,Oligo_2
0,0,0,one,Oligo_3
0,0,0.5,two,Oligo_3
0,0,0,three,Oligo_3
0,0,0.5,four,Oligo_3
0,0,0,five,Oligo_3
0,0,0,six,Oligo_3
0,0,0.03,one,Oligo_4
0,0,0.01,two,Oligo_4
0,0,0.16,three,Oligo_4
0,0,0.27,four,Oligo_4
0,0,0.23,five,Oligo_4
0,0,0.31,six,Oligo_4
0,0,0.69,one,Pax6_1
0.5,0,0.25,two,Pax6_1
0,0.2,0.04,three,Pax6_1
0,0.2,0,four,Pax6_1
0,0.2,0,five,Pax6_1
0.5,0.4,0.01,six,Pax6_1
0.72,0,0.44,one,Pax6_2
0.17,0.25,0.38,two,Pax6_2
0.06,0.5,0.06,three,Pax6_2
0,0.25,0,four,Pax6_2
0,0,0.12,five,Pax6_2
0.06,0,0,six,Pax6_2
0,0.87,0,one,Pax6_3
0,0.07,0.33,two,Pax6_3
0,0.07,0.44,three,Pax6_3
0.5,0,0.11,four,Pax6_3
0.5,0,0,five,Pax6_3
0,0,0.11,six,Pax6_3
0.2,0.5,0.39,one,Pax6_4
0.2,0,0.28,two,Pax6_4
0.2,0,0.06,three,Pax6_4
0,0,0,four,Pax6_4
0.2,0,0.17,five,Pax6_4
0.2,0.5,0.11,six,Pax6_4
0,0,0,one,Pvalb_1
0,0,0,two,Pvalb_1
0,0,0,three,Pvalb_1
0.15,0,0.15,four,Pvalb_1
0.54,0.78,0.73,five,Pvalb_1
0.31,0.22,0.12,six,Pvalb_1
0,0,0,one,Pvalb_10
0,0,0,two,Pvalb_10
0,0,0,three,Pvalb_10
0,0,0.09,four,Pvalb_10
0,0,0.39,five,Pvalb_10
0,0,0.52,six,Pvalb_10
0,0,0,one,Pvalb_11
0,0,0,two,Pvalb_11
0,0,0,three,Pvalb_11
0,0,0,four,Pvalb_11
0,0,0.21,five,Pvalb_11
0,0,0.79,six,Pvalb_11
0,0,0,one,Pvalb_12
0,0,0,two,Pvalb_12
0,0,0,three,Pvalb_12
0,0,0.04,four,Pvalb_12
0,0,0.46,five,Pvalb_12
0,0,0.5,six,Pvalb_12
0,0,0.09,one,Pvalb_13
0,0,0,two,Pvalb_13
0,0,0,three,Pvalb_13
0,0,0.05,four,Pvalb_13
0,0,0.45,five,Pvalb_13
0,0,0.41,six,Pvalb_13
0,0,0.09,one,Pvalb_14
0,0,0.52,two,Pvalb_14
0,0,0.37,three,Pvalb_14
0,0,0.02,four,Pvalb_14
0,0,0,five,Pvalb_14
0,0,0,six,Pvalb_14
0,0,0,one,Pvalb_15
0,0,0.01,two,Pvalb_15
0,0,0.29,three,Pvalb_15
0,0,0.37,four,Pvalb_15
0,0,0.28,five,Pvalb_15
0,0,0.05,six,Pvalb_15
0.17,0,0,one,Pvalb_2
0,0,0.14,two,Pvalb_2
0,0,0.67,three,Pvalb_2
0.5,0,0.16,four,Pvalb_2
0.33,0.33,0.02,five,Pvalb_2
0,0.67,0.01,six,Pvalb_2
0,0,0.03,one,Pvalb_3
0,0,0.3,two,Pvalb_3
0,0,0.64,three,Pvalb_3
0,0.17,0.03,four,Pvalb_3
0.08,0.31,0,five,Pvalb_3
0.92,0.52,0,six,Pvalb_3
0,0,0,one,Pvalb_4
0,0,0.06,two,Pvalb_4
0,1,0.17,three,Pvalb_4
0,0,0.5,four,Pvalb_4
